"","benchmark","dataset","algorithm","FM","AR"
"149","sipu","aggregation","hclust_average",0.99488119732326,0.993467313934767
"150","sipu","aggregation","hclust_mcquitty",0.74958876543362,0.682501856877056
"151","sipu","aggregation","hclust_median",0.961281516568133,0.949326364020144
"152","sipu","aggregation","hclust_centroid",0.99488119732326,0.993467313934767
"153","sipu","aggregation","genie",0.65733408302909,0.56554441952953
"154","sipu","aggregation","spectral",0.736959629679481,0.646434586092075
"155","sipu","compound","hclust_complete",0.854734567583781,0.792878140468533
"156","sipu","compound","hclust_average",0.861578410378158,0.803025623308763
"157","sipu","compound","hclust_mcquitty",0.869676433450936,0.816971510641043
"158","sipu","compound","hclust_median",0.832732222798527,0.772920393221094
"159","sipu","compound","hclust_centroid",0.860784032995541,0.79912283559656
"160","sipu","compound","genie",0.648596088418236,0.541257173663871
"161","sipu","compound","spectral",0.583543519253382,0.438420404651849
"162","sipu","d31","hclust_complete",0.92622712015479,0.923790023974218
"163","sipu","d31","hclust_average",0.910376651900697,0.906891828846128
"164","sipu","d31","hclust_mcquitty",0.784421474323481,0.775373311035175
"165","sipu","d31","hclust_median",0.635306321380099,0.601606654171475
"166","sipu","d31","hclust_centroid",0.851216530284794,0.840146147889738
"167","sipu","d31","genie",0.903197184637773,0.899570181045957
"168","sipu","d31","spectral",0.668997003002895,0.615476840416183
"169","sipu","flame","hclust_complete",0.623036389947208,-0.0422301552686084
"170","sipu","flame","hclust_average",0.731069999812516,0.442150650455405
"171","sipu","flame","hclust_mcquitty",0.715087059085863,0.409345691109965
"172","sipu","flame","hclust_median",0.723796970940261,0.418975946289294
"173","sipu","flame","hclust_centroid",0.730023527047636,0.0127504301311393
"174","sipu","flame","genie",1,1
"175","sipu","flame","spectral",0.687308991818585,0.346709333039244
"176","sipu","jain","hclust_complete",0.921763082290201,0.779194020923121
"177","sipu","jain","hclust_average",0.921763082290201,0.779194020923121
"178","sipu","jain","hclust_mcquitty",0.790449630182808,0.514616982682244
"179","sipu","jain","hclust_median",0.840952250891343,0.476598526065278
"180","sipu","jain","hclust_centroid",0.918340258819746,0.768446889848748
"181","sipu","jain","genie",1,1
"182","sipu","jain","spectral",0.733281290193736,0.394008894840696
