,benchmark,dataset,algorithm,n_clusters,FM,AM,AR
0,fcps,twodiamonds,genie,5.0,0.987547970762765,0.9514247207854725,0.975125122351754
0,fcps,twodiamonds,kmeans,5.0,0.6240658036702952,0.5469586002313361,0.38939543892328987
0,fcps,twodiamonds,dbscan,5.0,0.7066641477903172,0.0,0.0
0,fcps,twodiamonds,meanshift,5.0,1.0,1.0,1.0
0,fcps,chainlink,linkage_single,2.0,1.0,1.0,1.0
0,fcps,chainlink,linkage_average,2.0,0.6765288273479868,0.3593455274710004,0.27192171366650764
0,fcps,chainlink,linkage_weighted,2.0,0.7206489844318624,0.4491272654120088,0.40143709929050847
0,fcps,chainlink,linkage_centroid,2.0,0.7067527852789117,0.0,0.0
0,fcps,chainlink,linkage_median,2.0,0.7077052645092029,0.4253168782489068,0.3667004758366062
0,fcps,chainlink,linkage_ward,2.0,0.6790074219805232,0.36532425897232945,0.2803387506713194
0,fcps,chainlink,genie,2.0,1.0,1.0,1.0
0,fcps,chainlink,kmeans,2.0,0.5459107296389125,0.06796683978569243,0.09272782327563994
0,fcps,chainlink,dbscan,2.0,1.0,1.0,1.0
0,fcps,chainlink,meanshift,2.0,0.7067527852789117,0.0,0.0
0,fcps,chainlink,linkage_single,3.0,0.9989994994993742,0.9948145294868933,0.998001996003992
0,fcps,chainlink,linkage_average,3.0,0.5773194151710315,0.3999764559680472,0.25051456853014165
0,fcps,chainlink,linkage_weighted,3.0,0.6621543186251324,0.3883092704999888,0.31021512947505875
0,fcps,chainlink,linkage_centroid,3.0,0.7067527852789117,0.0,0.0
0,fcps,chainlink,linkage_median,3.0,0.7077052645092029,0.4253168782489068,0.3667004758366062
0,fcps,chainlink,linkage_ward,3.0,0.5751829822730821,0.39353565681234637,0.24177892983488194
0,fcps,chainlink,genie,3.0,1.0,1.0,1.0
0,fcps,chainlink,kmeans,3.0,0.5055294403325195,0.18889708906707198,0.1307473424941119
0,fcps,chainlink,dbscan,3.0,1.0,1.0,1.0
0,fcps,chainlink,meanshift,3.0,0.7067527852789117,0.0,0.0
0,fcps,chainlink,linkage_single,4.0,0.997997995989972,0.989672313577549,0.996003984015936
0,fcps,chainlink,linkage_average,4.0,0.5251883209745986,0.36281025900201436,0.18506743127179603
0,fcps,chainlink,linkage_weighted,4.0,0.5395873179080285,0.37910639467082147,0.21174399555793655
0,fcps,chainlink,linkage_centroid,4.0,0.6478788557861407,0.2504271004513982,0.13197857234008295
0,fcps,chainlink,linkage_median,4.0,0.7077052645092029,0.4253168782489068,0.3667004758366062
0,fcps,chainlink,linkage_ward,4.0,0.5656737358294835,0.43276788175651165,0.28521156722155294
0,fcps,chainlink,genie,4.0,1.0,1.0,1.0
0,fcps,chainlink,kmeans,4.0,0.45933936535516956,0.24834436115423,0.1353216423034508
0,fcps,chainlink,dbscan,4.0,1.0,1.0,1.0
0,fcps,chainlink,meanshift,4.0,0.7067527852789117,0.0,0.0
0,fcps,chainlink,linkage_single,5.0,0.9969974964943653,0.9845742198767846,0.9940099680918327
0,fcps,chainlink,linkage_average,5.0,0.5391046466602734,0.434032705813147,0.2698015084102278
0,fcps,chainlink,linkage_weighted,5.0,0.4963273351619813,0.3869614879747001,0.20103256877410242
0,fcps,chainlink,linkage_centroid,5.0,0.6478788557861407,0.2504271004513982,0.13197857234008295
0,fcps,chainlink,linkage_median,5.0,0.7077052645092029,0.4253168782489068,0.3667004758366062
0,fcps,chainlink,linkage_ward,5.0,0.505698019714282,0.3966207986122151,0.21605831084566363
0,fcps,chainlink,genie,5.0,1.0,1.0,1.0
0,fcps,chainlink,kmeans,5.0,0.4932219947433471,0.4006998770237553,0.21028889791280714
0,fcps,chainlink,dbscan,5.0,1.0,1.0,1.0
0,fcps,chainlink,meanshift,5.0,0.7067527852789117,0.0,0.0
0,fcps,target,linkage_single,2.0,0.6989917596014569,0.06041662346013667,0.014632954859259242
0,fcps,target,linkage_average,2.0,0.6989917596014569,0.06041662346013667,0.014632954859259242
0,fcps,target,linkage_weighted,2.0,0.7017238169680003,0.1073563960182715,0.029164723528619315
0,fcps,target,linkage_centroid,2.0,0.6989917596014569,0.06041662346013667,0.014632954859259242
0,fcps,target,linkage_median,2.0,0.6962701996380604,0.0,0.0
0,fcps,target,linkage_ward,2.0,0.6708839283631339,0.3255677502620838,0.2516297948543798
0,fcps,target,genie,2.0,0.9849825469611299,0.9383050282960691,0.9702086783899794
0,fcps,target,kmeans,2.0,0.6597106763300719,0.2889887193946782,0.20231434633067671
0,fcps,target,dbscan,2.0,0.9998119390805301,0.9859175714868579,0.999634881516244
0,fcps,target,meanshift,2.0,0.7873715873600592,0.6455732865164031,0.6269876437547921
0,fcps,target,linkage_single,3.0,0.7017346507112093,0.11741616686443716,0.029222036601549175
0,fcps,target,linkage_average,3.0,0.7017346507112093,0.11741616686443718,0.029222036601549175
0,fcps,target,linkage_weighted,3.0,0.7017346507112093,0.11741616686443716,0.029222036601549175
0,fcps,target,linkage_centroid,3.0,0.7017346507112093,0.11741616686443718,0.029222036601549175
0,fcps,target,linkage_median,3.0,0.7017346507112093,0.11741616686443718,0.029222036601549175
0,fcps,target,linkage_ward,3.0,0.7313124302321766,0.4974246735484265,0.4914003948950858
0,fcps,target,genie,3.0,0.9849825469611299,0.9383050282960691,0.9702086783899794
0,fcps,target,kmeans,3.0,0.6806202421398295,0.41204706839700717,0.3681146855623211
0,fcps,target,dbscan,3.0,0.9998119390805301,0.9859175714868579,0.999634881516244
