,benchmark,dataset,algorithm,n_clusters,FM,AM,AR
0,graves,zigzag,linkage_centroid,3.0,0.5241082820171913,0.33469984606116493,0.14978531975066153
0,graves,zigzag,linkage_median,3.0,0.49696316108805755,0.3478523683439631,0.13236150817124856
0,graves,zigzag,linkage_ward,3.0,0.4965038581227112,0.35474559328157695,0.14169575875900392
0,graves,zigzag,genie,3.0,0.4965038581227112,0.35474559328157695,0.14169575875900392
0,graves,zigzag,linkage_single,4.0,0.8393969001392028,0.7421070264975772,0.7284108692559397
0,graves,zigzag,linkage_average,4.0,0.477975841686306,0.34178653581648216,0.14793426565119855
0,graves,zigzag,linkage_weighted,4.0,0.46180485112945213,0.325971032053448,0.12340563633787265
0,graves,zigzag,linkage_centroid,4.0,0.46327642322028956,0.3302346915097108,0.13013469368960107
0,graves,zigzag,linkage_median,4.0,0.46180485112945213,0.325971032053448,0.12340563633787265
0,graves,zigzag,linkage_ward,4.0,0.4614486796660458,0.3321308781536782,0.13286627060049117
0,graves,zigzag,genie,4.0,0.4614486796660458,0.3321308781536782,0.13286627060049117
0,graves,zigzag,linkage_single,5.0,0.695991141987289,0.5997744042192837,0.5137293330275421
0,graves,zigzag,linkage_average,5.0,0.4744691485268314,0.3622215482228041,0.20664236347651227
0,graves,zigzag,linkage_weighted,5.0,0.4581122774652981,0.34554663050109247,0.17129377230230547
0,graves,zigzag,linkage_centroid,5.0,0.46327642322028956,0.3302346915097108,0.13013469368960107
0,graves,zigzag,linkage_median,5.0,0.5223495622503048,0.44850474577930943,0.2632697857376069
0,graves,zigzag,linkage_ward,5.0,0.524956010042096,0.45125719189708247,0.27340980686842276
0,graves,zigzag,genie,5.0,0.524956010042096,0.45125719189708247,0.27340980686842276
0,graves,dense,linkage_single,2.0,0.6949934391698094,0.010542398684236565,0.0006031942149654349
0,graves,dense,linkage_average,2.0,0.9604363243777289,0.8772533689573538,0.9212046771339222
0,graves,dense,linkage_weighted,2.0,0.6825224350327586,0.03208305800543103,0.004223973159667568
0,graves,dense,linkage_centroid,2.0,0.9604363243777289,0.8772533689573538,0.9212046771339222
0,graves,dense,linkage_median,2.0,0.760381423456011,0.5022833314978635,0.5018070607383429
0,graves,dense,linkage_ward,2.0,0.9604363243777289,0.8772533689573538,0.9212046771339222
0,graves,dense,genie,2.0,0.9604363243777289,0.8772533689573538,0.9212046771339222
0,graves,dense,linkage_single,3.0,0.6915689236009118,0.01070845179971716,0.0009048804728301567
0,graves,dense,linkage_average,3.0,0.9409192494314986,0.7829527125681341,0.8841975947239106
0,graves,dense,linkage_weighted,3.0,0.6338940224986608,0.1692731706857808,0.07679156381182439
0,graves,dense,linkage_centroid,3.0,0.9554358897350118,0.843494458808147,0.9116525356314722
0,graves,dense,linkage_median,3.0,0.707136004133936,0.4156031314092089,0.4171715064790371
0,graves,dense,linkage_ward,3.0,0.8461639844144744,0.6076793868452389,0.715077291442531
0,graves,dense,genie,3.0,0.8461639844144744,0.6076793868452389,0.715077291442531
0,graves,dense,linkage_single,4.0,0.6881822680495954,0.010915106266726145,0.0013071777128209837
0,graves,dense,linkage_average,4.0,0.9407584895472042,0.7706004913901814,0.8838958500135126
0,graves,dense,linkage_weighted,4.0,0.8380888882129953,0.56165012355382,0.7014747959003615
0,graves,dense,linkage_centroid,4.0,0.9360306632167815,0.7548050140129207,0.8750442649542296
0,graves,dense,linkage_median,4.0,0.7062214087989672,0.4041344028645631,0.4157603054969553
0,graves,dense,linkage_ward,4.0,0.7860020275346141,0.4988190420297212,0.616795304788636
0,graves,dense,genie,4.0,0.7860020275346141,0.4988190420297212,0.616795304788636
0,graves,dense,linkage_single,5.0,0.955380345335237,0.7863342993217265,0.9127409913050155
0,graves,dense,linkage_average,5.0,0.8371868936355594,0.5619584608897032,0.699963292881347
0,graves,dense,linkage_weighted,5.0,0.8373673695259202,0.5479088879322497,0.7002655953192933
0,graves,dense,linkage_centroid,5.0,0.9360306632167815,0.7548050140129207,0.8750442649542296
0,graves,dense,linkage_median,5.0,0.7026192137742376,0.3900180941953149,0.4102161084320068
0,graves,dense,linkage_ward,5.0,0.7704812415251524,0.457423737529849,0.5925879459902174
0,graves,dense,genie,5.0,0.7704812415251524,0.457423737529849,0.5925879459902174
